REF_DATE,Type of crop,Average farm price (dollars per tonne),Average yield (kilograms per hectare),Production (metric tonnes),Seeded area (acres),Seeded area (hectares),Total farm value (dollars)
1930,10,21,1245,88100,174700,70700,1828
1930,11,67,1500,150,300,100,10
1930,18,1,2960,320000,267000,108000,3530
1930,19,33,1235,13200,26500,10700,437
1930,0,30,1265,80100,156700,63400,2391
1930,1,92,1160,11300,24100,9750,1040
1930,2,34,1245,79150,156900,63500,2654
1930,4,39,1355,17200,31400,12700,677
1930,5,0,18950,544000,70800,28700,3600
1930,6,85,605,1300,5300,2150,110
1930,8,32,1315,76600,143700,58200,2439
1930,10,30,1015,780900,1899800,768800,23798
1930,11,77,980,15150,38200,15450,1168
1930,12,30,1100,7800,17500,7100,232
1930,18,1,3380,6171000,4514200,1827000,63023
1930,19,35,1200,28600,58700,23800,998
1930,0,6,1080,882000,2016000,816000,4863
1930,1,69,875,350,1000,400,24
1930,5,0,605,26000,10700,4300,203
1930,6,35,570,99100,431000,174000,3471
1930,8,10,1055,9800,23000,9300,96
1930,10,10,1055,1936000,4531000,1834000,18826
1930,11,41,1165,700,1600,600,29
1930,12,7,925,377600,1010000,409000,2528
1930,13,7,910,301000,1310066,0,2016
1930,14,7,980,76600,192000,78000,512
1930,18,0,3430,651000,472300,190000,6006
1930,19,17,970,5625000,14326000,5798000,97149
1931,0,10,1575,453000,710500,288000,4368
1931,1,47,750,150,500,200,7
1931,5,0,9230,12000,3300,1300,52
1931,6,28,425,5100,30500,12000,144
1931,8,9,1835,12100,16400,6600,113
1931,10,12,1400,1396000,2465700,998000,16290
1931,11,60,750,150,400,200,9
1931,12,9,435,27400,153900,63000,242
1931,13,9,395,15000,1310066,0,134
1931,14,9,495,12400,60600,25000,108
1931,16,0,19900,95500,11955,4800,679
1931,18,0,3920,470000,297000,120000,4195
1931,19,13,1190,3827000,7942900,3214000,50617
1931,0,23,1790,6800,9400,3800,156
1931,1,60,1335,400,700,300,24
1931,5,0,22500,36000,4000,1600,240
1931,6,30,1000,100,300,100,3
1931,8,21,2110,1900,2200,900,39
1931,10,25,1930,68000,87100,35200,1676
1931,11,51,1680,1850,2800,1100,95
1931,12,21,1315,2100,3900,1600,45
1931,18,1,4910,383000,192700,78000,5674
1931,19,24,1625,43000,65400,26500,1043
1931,0,12,955,1466800,3791400,1534500,17465
1931,1,26,1035,35600,85200,34400,941
1931,2,23,1110,150600,335500,135850,3454
1931,4,16,2580,138600,131800,53700,2274
1931,5,0,19230,2616000,335300,136050,11416
1931,6,31,240,62650,648000,261850,1944
1931,8,18,1665,804700,1195600,483950,14453
1931,10,15,975,5062650,12837700,5194850,77970
1931,11,31,1135,37250,81000,32800,1160
1931,12,11,415,134200,798600,323900,1476
1931,13,12,405,101700,1310066,0,1184
1931,14,9,450,32500,176100,72100,292
1931,16,0,22600,395500,43337,17500,2663
1931,18,0,3690,14450000,9682100,3919000,124491
1931,19,14,820,8745350,26355100,10664900,123550
1931,0,10,735,335000,1128800,457000,3234
1931,2,25,855,1200,3400,1400,30
1931,5,0,8330,25000,7300,3000,126
1931,6,32,215,8900,101400,41000,284
1931,8,10,1000,4700,11600,4700,49
1931,10,12,640,393000,1518400,614000,4845
1931,11,37,1750,350,500,200,13
1931,12,10,825,16600,50400,20100,158
1931,13,10,855,12000,1310066,0,115
1931,14,9,755,4600,15000,6100,43
1931,18,0,3270,392000,295600,120000,3391
1931,19,15,720,765000,2617100,1059000,11526
1931,0,26,1485,12900,21600,8700,333
1931,8,18,1700,18300,26400,10750,322
1931,10,24,1215,222450,452100,182950,5398
1931,18,0,3210,1620000,1247600,505000,15227
1931,19,31,1130,14150,30900,12500,445
1931,0,24,1530,6200,10000,4050,151
1931,1,73,1335,400,800,300,29
1931,2,28,900,15550,42700,17300,429
1931,5,0,26670,4000,400,150,19
1931,8,19,1535,1150,1800,750,22
1931,10,25,1175,103600,217900,88200,2553
1931,18,0,2870,689000,592800,240000,5320
1931,19,32,1185,3850,8000,3250,122
1931,0,29,1525,4800,7800,3150,139
1931,2,36,1120,1900,4200,1700,69
1931,5,0,25000,5000,500,200,31
1931,8,25,1655,2650,3900,1600,65
1931,10,32,1295,44800,85400,34550,1453
1931,12,0,0,0,0,0,0
1931,18,1,3540,602000,420100,170000,6640
1931,19,33,1175,1350,2900,1150,44
1931,0,17,1615,293800,449300,181800,4992
1931,1,21,1005,31400,77200,31200,668
1931,2,19,1045,79500,187600,75900,1533
1931,4,16,2625,134000,125100,51000,2106
1931,5,0,19080,2099000,270600,110000,9256
1931,6,41,865,1950,5500,2250,80
1931,8,18,1730,708000,1012100,409600,12487
1931,10,16,1265,1210900,2362000,955900,19630
1931,11,23,1125,27200,59800,24200,629
1931,12,16,1110,25400,56600,22900,419
1931,16,0,23600,300000,31382,12700,1984
1931,18,0,3820,5742000,3710700,1502000,53945
1931,19,19,1835,469500,633500,256000,8968
1931,21,19,1390,55500,98800,40000,1061
1931,22,19,1915,414000,1310066,0,7907
1931,0,10,845,1100000,3214300,1301000,10613
1931,5,0,7260,45000,15400,6200,220
1931,6,30,230,60200,641000,259000,1829
1931,8,10,1175,21700,45700,18500,208
1931,10,12,845,2833000,8279000,3350000,33321
1931,11,44,1100,550,1200,500,24
1931,12,9,350,104500,732600,297100,952
1931,16,0,19900,95500,11955,4800,679
1931,18,0,3400,1053000,766100,310000,9094
1931,19,14,790,8197000,25586100,10354000,112480
1931,0,23,1265,1900,3800,1500,43
1931,2,23,1465,1100,1900,750,25
1931,5,0,2000,2000,300,100,8
1931,8,16,1725,14500,20800,8400,235
1931,10,19,1230,74050,148800,60200,1392
1931,18,0,3460,329000,234700,95000,3267
1931,19,31,1105,8950,20000,8100,279
1931,0,26,1360,53300,96800,39200,1371
1931,1,67,1360,3200,5800,2350,213
1931,2,27,1325,51350,95800,38800,1368
1931,4,37,1705,4600,6700,2700,168
1931,5,0,23880,425000,44100,17800,1642
1931,6,80,800,400,1200,500,32
1931,8,25,1240,54800,109100,44200,1397
1931,10,25,1085,728300,1657500,670800,17945
1931,11,54,1095,7650,17300,7000,412
1931,12,27,955,2200,5600,2300,60
1931,18,0,3710,5652000,3765000,1524000,40551
1931,19,28,1365,21700,39200,15900,614
1931,0,10,560,312000,1375000,556000,3011
1931,1,20,1000,50,100,50,1
1931,5,0,421,8000,4700,1900,42
1931,6,30,225,46200,509100,206000,1401
1931,8,9,680,4900,17800,7200,46
1931,10,12,600,1044000,4294900,1738000,12186
1931,11,40,500,50,200,100,2
1931,12,9,285,60500,528300,214000,552
1931,13,9,260,45000,1310066,0,411
1931,14,9,380,15500,100500,41000,141
1931,18,0,2730,191000,173500,70000,1508
1931,19,14,595,3605000,15026200,6081000,50337
1932,0,7,1510,429000,701300,284000,3152
1932,1,27,750,150,500,200,4
1932,5,0,13330,24000,4500,1800,91
1932,6,23,565,5100,23000,9000,118
1932,8,7,1460,14900,25300,10200,102
1932,10,8,1430,1565000,2704800,1095000,13195
1932,11,27,750,150,400,200,4
1932,12,11,515,38200,183100,74000,426
1932,13,11,550,27000,1310066,0,303
1932,14,11,450,11200,62000,25000,123
1932,16,0,24400,136700,13929,5600,879
1932,18,0,3740,449000,288100,120000,3426
1932,19,12,1370,4555000,8201000,3319000,53554
1932,0,19,1660,6300,9300,3800,118
1932,1,47,1835,550,800,300,26
1932,5,0,28240,48000,4200,1700,318
1932,6,20,1000,100,300,100,2
1932,8,19,2040,2450,3000,1200,46
1932,10,22,1860,68200,90800,36700,1503
1932,11,46,1845,2400,3100,1300,110
1932,12,17,1250,2000,3900,1600,34
1932,18,1,4930,375000,187800,76000,5093
1932,19,22,1545,38300,61200,24800,845
1932,0,11,1155,1758550,3757600,1521250,18855
1932,1,20,1150,31050,66600,26950,629
1932,2,20,1230,183400,368400,149050,3585
1932,4,18,2415,128000,130000,53000,2276
1932,5,0,17580,2594000,365600,147550,7868
1932,6,24,370,69100,461500,186200,1682
1932,8,16,1665,796800,1184000,479100,13063
1932,10,13,1135,6038050,13148400,5320750,75988
1932,11,31,1200,41300,84800,34400,1288
1932,12,10,690,215000,773800,312600,2284
1932,13,11,705,177500,1310066,0,1918
1932,14,10,625,37500,149800,60200,366
1932,16,0,25300,458700,44814,18100,3097
1932,18,0,3620,13901000,9477700,3837000,111785
1932,19,13,1095,12058550,27182100,11000650,154760
1932,0,9,960,436000,1123300,455000,4003
1932,2,21,805,1850,5700,2300,38
1932,5,0,9630,52000,13400,5400,214
1932,6,26,305,6100,49300,20000,161
1932,8,9,1115,7700,17000,6900,71
1932,10,9,960,568000,1463500,592000,5156
1932,11,23,940,750,2000,800,17
1932,12,8,905,14700,40600,16200,112
1932,13,8,915,11000,1310066,0,83
1932,14,8,880,3700,10500,4200,29
1932,18,0,3390,644000,464200,190000,3987
1932,19,14,1115,1199000,2651000,1073000,16736
1932,0,24,1495,14450,23900,9650,346
1932,8,18,1725,22950,32900,13300,424
1932,10,21,1255,229350,451100,182550,4924
1932,18,0,3620,1740000,1187700,481000,13937
1932,19,29,1250,19150,37900,15350,552
1932,0,24,1495,7250,12000,4850,176
1932,1,46,1250,500,1000,400,23
1932,2,25,1105,18800,42100,17050,475
1932,5,0,12000,3000,600,250,10
1932,8,21,1515,2650,4300,1750,56
1932,10,21,1195,104500,216500,87600,2236
1932,18,0,3520,799000,561200,227000,6519
1932,19,32,1200,5450,11300,4550,176
1932,0,26,1565,5000,7900,3200,128
1932,2,31,1305,2150,4100,1650,67
1932,5,0,20000,4000,500,200,13
1932,8,25,1795,3500,4800,1950,89
1932,10,27,1350,46450,85100,34450,1265
1932,12,0,0,0,0,0,0
1932,18,0,4030,653000,400200,162000,5040
1932,19,27,1445,1950,3300,1350,53
1932,0,17,1625,299800,456000,184500,5233
1932,1,18,1145,28800,62000,25100,519
1932,2,17,1230,98200,197000,79700,1624
1932,4,18,2415,128000,130000,53000,2276
1932,5,0,17360,1996000,285000,115000,5830
1932,6,36,610,1550,6300,2550,56
1932,8,16,1705,680300,986000,399000,10998
1932,10,16,1230,1164600,2338000,946200,18879
1932,11,24,1210,29150,59500,24100,696
1932,12,15,1115,26000,57500,23300,399
1932,16,0,25800,322000,30885,12500,2218
1932,18,0,4020,6055000,3722000,1506000,49313
1932,19,18,1805,464200,636000,257500,8335
1932,21,18,1340,54200,100000,40500,955
1932,22,18,1890,410000,1310066,0,7380
1932,0,8,1075,1374000,3154100,1277000,11601
1932,5,0,9280,90000,24000,9700,365
1932,6,24,365,67100,453500,183000,1599
1932,8,7,1165,29700,63100,25500,211
1932,10,9,1095,3789000,8533000,3453000,32313
1932,11,23,875,1050,2900,1200,24
1932,12,9,645,184500,706200,285200,1784
1932,16,0,24400,136700,13929,5600,879
1932,18,0,3550,1313000,911700,370000,8814
1932,19,13,1080,11511000,26395000,10682000,144333
1932,0,19,1375,2200,4000,1600,42
1932,2,26,1475,1550,2600,1050,40
1932,5,0,2000,2000,300,100,7
1932,8,17,1750,16800,23800,9600,279
1932,10,18,1295,78400,149500,60500,1423
1932,18,0,3130,288000,226300,92000,2378
1932,19,27,1245,11750,23300,9450,323
1932,0,24,1380,64000,114300,46300,1557
1932,1,56,1110,1000,2200,900,56
1932,2,22,1285,60850,116900,47300,1341
1932,4,0,0,0,0,0,0
1932,5,0,21890,451000,51000,20600,1325
1932,6,71,635,350,1400,550,25
1932,8,23,1530,61400,99000,40100,1384
1932,10,23,1120,786900,1735500,702300,18369
1932,11,53,1115,8700,19300,7800,458
1932,12,27,1000,2500,6200,2500,67
1932,18,0,3150,4418000,3468500,1404000,34628
1932,19,27,1235,25900,52000,21000,695
1932,0,9,945,509000,1329500,538000,4446
1932,1,20,1000,50,100,50,1
1932,5,0,560,14000,6100,2500,60
1932,6,24,365,55900,381200,154000,1320
1932,8,5,845,7100,20800,8400,38
1932,10,8,940,1656000,4364700,1766000,13962
1932,11,20,750,150,500,200,3
1932,12,9,675,131600,482500,195000,1246
1932,13,9,665,109000,1310066,0,1032
1932,14,9,730,22600,77300,31000,214
1932,18,0,3670,220000,159400,60000,1401
1932,19,13,915,5757000,15543000,6290000,74043
1933,0,10,1090,278000,631000,255000,2812
1933,1,52,835,250,800,300,13
1933,5,0,6000,12000,5000,2000,61
1933,6,46,275,1100,10700,4000,51
1933,8,10,1130,9500,20800,8400,97
1933,10,12,965,1118000,2870000,1161000,13050
1933,11,40,1000,200,600,200,8
1933,12,12,285,19500,169000,68000,236
1933,13,12,355,16000,1310066,0,196
1933,14,11,150,3500,57000,23000,40
1933,16,0,22300,124700,13773,5600,878
1933,18,0,3260,456000,355500,140000,3338
1933,19,17,870,2785000,7898000,3196000,46050
1933,0,23,1635,6700,10100,4100,157
1933,1,44,1835,550,800,300,24
1933,5,0,25000,50000,4900,2000,275
1933,6,40,665,100,400,150,4
1933,8,22,1855,2600,3400,1400,58
1933,10,26,1790,69500,95900,38800,1803
1933,11,44,1855,2600,3400,1400,115
1933,12,24,1175,2000,4300,1700,47
1933,18,1,4780,373000,192100,78000,5341
1933,19,25,1485,35800,59600,24100,896
1933,0,14,930,1378950,3658000,1480400,18954
1933,1,36,1010,24200,59100,23950,878
1933,2,23,1145,184700,398300,161300,4233
1933,4,23,2325,128000,136600,55000,2982
1933,5,0,18460,2834000,378800,153500,10239
1933,6,47,165,16050,243600,98150,756
1933,8,20,1425,673750,1167300,472300,13336
1933,10,17,865,4741700,13528900,5475000,79818
1933,11,37,1095,37450,84600,34200,1371
1933,12,15,455,106700,583100,235300,1603
1933,13,16,495,89300,1310066,0,1395
1933,14,12,315,17400,138800,55600,208
1933,16,0,22700,401300,43625,17700,2784
1933,18,0,3060,11879000,9597500,3880000,115585
1933,19,18,730,7672150,25991100,10517300,136958
1933,0,12,775,368000,1173000,475000,4563
1933,2,24,720,2300,7800,3200,56
1933,5,0,8770,107000,30200,12200,502
1933,6,46,350,2800,20200,8000,129
1933,8,12,860,11100,31900,12900,136
1933,10,14,745,455000,1504000,609000,6195
1933,11,37,600,600,2500,1000,22
1933,12,13,805,15000,45700,18600,186
1933,13,13,800,12000,1310066,0,151
1933,14,12,835,3000,9000,3600,35
1933,18,0,3500,806000,570100,230000,5090
1933,19,19,865,889000,2536000,1026000,16986
1933,0,29,1465,14350,24100,9800,409
1933,8,21,1850,23850,32000,12900,511
1933,10,25,1270,233300,454000,183700,5776
1933,18,1,3010,1449000,1190000,482000,14538
1933,19,32,1495,24350,40300,16300,782
1933,0,28,1390,6950,12300,5000,195
1933,1,53,1220,550,1100,450,29
1933,2,23,995,16800,41700,16900,386
1933,5,0,15000,3000,500,200,12
1933,8,23,1400,2800,5000,2000,63
1933,10,26,1115,95200,210500,85200,2469
1933,18,0,2450,560000,565800,229000,5306
1933,19,35,1360,7400,13500,5450,257
1933,0,32,1470,4700,7900,3200,151
1933,2,33,1085,1950,4400,1800,65
1933,5,0,20000,4000,500,200,14
1933,8,31,1525,3050,5000,2000,96
1933,10,32,1320,47850,89500,36200,1551
1933,12,0,0,0,0,0,0
1933,18,1,3900,631000,400200,162000,6960
1933,19,36,1180,1650,3400,1400,59
1933,0,20,1405,262000,461000,186600,5174
1933,1,34,1000,21200,52300,21200,717
1933,2,21,1130,94650,207000,83800,1956
1933,4,23,2325,128000,136600,55000,2982
1933,5,0,19090,2214000,286000,116000,7930
1933,6,48,555,1250,5500,2250,60
1933,8,20,1470,562500,947000,383200,11023
1933,10,22,1080,1010800,2316000,937300,22285
1933,11,29,1075,25550,58700,23750,751
1933,12,21,1060,23200,54000,21900,484
1933,16,0,22900,276600,29852,12100,1906
1933,18,0,3710,5601000,3725500,1508000,55270
1933,19,27,1610,427400,656000,265300,11320
1933,21,27,1155,45400,97000,39300,1218
1933,22,26,1690,382000,1310066,0,10102
1933,0,11,840,1028000,3032000,1227000,11589
1933,5,0,7890,135000,42400,17100,645
1933,6,47,150,14300,235900,95000,668
1933,8,11,880,26900,75700,30600,301
1933,10,12,755,2736000,8945000,3620000,33575
1933,11,38,645,900,3600,1400,34
1933,12,13,380,79400,519700,209600,1013
1933,16,0,22300,124700,13773,5600,878
1933,18,0,3340,1468000,1100200,440000,9504
1933,19,17,705,7158000,25177000,10188000,123198
1933,0,23,1690,2700,3900,1600,63
1933,2,26,1315,1050,2000,800,27
1933,5,0,2000,2000,200,100,6
1933,8,20,2020,18000,22000,8900,352
1933,10,19,1450,90250,154000,62300,1756
1933,18,0,2840,258000,224000,91000,2272
1933,19,30,1620,15300,23400,9450,466
1933,0,24,1285,67900,130800,52900,1625
1933,1,58,1000,1600,3900,1600,93
1933,2,26,1240,67950,135400,54800,1743
1933,4,0,0,0,0,0,0
1933,5,0,23800,426000,44200,17900,1357
1933,6,60,535,400,1800,750,24
1933,8,25,1310,57900,109200,44200,1443
1933,10,24,995,692100,1718000,695200,16379
1933,11,56,1100,8400,18900,7650,471
1933,12,28,1000,2100,5100,2100,59
1933,18,1,2180,2988000,3389700,1372000,30932
1933,19,29,1125,26600,58200,23600,762
1933,0,11,770,382000,1228000,497000,4214
1933,1,40,500,50,200,100,2
1933,5,0,552,16000,7200,2900,82
1933,6,47,125,10400,205000,83000,488
1933,8,11,675,6300,23000,9300,68
1933,10,12,630,1163000,4571000,1850000,14330
1933,11,40,500,100,500,200,4
1933,12,13,365,44900,305000,123000,591
1933,13,13,360,34000,1310066,0,458
1933,14,12,375,10900,72800,29000,133
1933,18,0,2940,206000,174600,70000,1076
1933,19,17,585,3484000,14743000,5966000,60162
1934,0,18,1080,327000,749000,303000,5866
1934,1,57,855,300,900,350,17
1934,5,0,9060,29000,8000,3200,194
1934,6,42,385,2700,18100,7000,114
1934,8,15,1105,9400,21000,8500,139
1934,10,16,1020,1249000,3032000,1227000,20250
1934,11,43,1000,300,800,300,13
1934,12,19,410,30600,185100,75000,569
1934,13,19,450,23000,1310066,0,428
1934,14,19,315,7600,58700,24000,141
1934,16,0,27900,158800,14115,5700,980
1934,18,0,3530,494000,356600,140000,4346
1934,19,21,1010,3062000,7501000,3036000,65250
1934,0,26,1750,7700,10800,4400,198
1934,1,56,2000,700,900,350,39
1934,5,0,28570,60000,5300,2100,330
1934,6,40,750,150,500,200,6
1934,8,25,1865,2800,3700,1500,69
1934,10,29,1810,72200,98600,39900,2108
1934,11,50,1400,2100,3600,1500,105
1934,12,25,1220,2200,4500,1800,55
1934,18,1,5100,403000,195800,79000,5250
1934,19,29,1595,38000,58700,23800,1090
1934,0,22,950,1387700,3612500,1461250,29975
1934,1,49,965,22150,56800,22950,1079
1934,2,24,1140,188000,407200,164850,4572
1934,4,26,2660,173000,161100,65000,4419
1934,5,0,17200,3462000,497100,201250,15729
1934,6,45,255,23250,226900,91450,1049
1934,8,20,1650,774200,1159200,469050,15634
1934,10,21,890,4952100,13730800,5556950,103124
1934,11,38,1120,43200,95000,38500,1660
1934,12,20,430,119500,684900,277900,2325
1934,13,20,430,95500,1310066,0,1885
1934,14,18,425,24000,137800,56300,440
1934,16,0,24000,374400,38485,15600,2328
1934,18,1,2930,11342000,9560300,3868000,148117
1934,19,23,775,7507950,23985000,9706600,169631
1934,0,22,830,377000,1125000,455000,8303
1934,2,29,530,1700,7900,3200,50
1934,5,0,6630,205000,76400,30900,1216
1934,6,45,460,4600,25600,10000,207
1934,8,17,835,8000,23800,9600,138
1934,10,19,700,413000,1458000,590000,7758
1934,11,52,750,600,2000,800,31
1934,12,19,830,29300,87400,35300,556
1934,13,19,840,26000,1310066,0,493
1934,14,19,765,3300,10600,4300,63
1934,18,0,3110,777000,614300,250000,5701
1934,19,24,985,1010000,2533000,1025000,24115
1934,0,30,1455,13000,22200,8950,385
1934,8,25,1890,22800,29900,12050,563
1934,10,28,1245,225300,446600,180750,6359
1934,18,1,2470,1199000,1199600,486000,20918
1934,19,35,1330,23950,44500,18000,850
1934,0,27,1475,6700,11300,4550,184
1934,1,58,1145,400,900,350,23
1934,2,23,1135,15150,33000,13350,348
1934,5,0,20000,4000,500,200,18
1934,8,22,1565,1800,2900,1150,40
1934,10,28,1165,98750,209100,84600,2753
1934,18,1,2400,551000,567200,230000,8255
1934,19,37,1380,8700,15600,6300,319
1934,0,35,1345,4300,7900,3200,152
1934,2,38,1090,1850,4200,1700,70
1934,5,0,20000,5000,600,250,23
1934,8,32,1700,3400,4900,2000,109
1934,10,36,1225,44300,89400,36200,1580
1934,12,0,0,0,0,0,0
1934,18,1,2610,433000,411000,166000,8634
1934,19,40,1035,1550,3700,1500,62
1934,0,23,1635,320900,484900,196200,7371
1934,1,47,940,18800,49400,20000,879
1934,2,22,1100,95450,213900,86600,2061
1934,4,26,2660,173000,161100,65000,4419
1934,5,0,20700,2712000,323200,131000,11960
1934,6,52,630,1450,5700,2300,76
1934,8,20,1725,657200,941400,381000,12878
1934,10,23,1300,1257300,2390800,967500,28534
1934,11,31,1130,31450,68800,27850,983
1934,12,22,975,22000,55900,22600,476
1934,16,0,21800,215600,24370,9900,1347
1934,18,1,2760,3888000,3480700,1409000,53163
1934,19,32,1100,232100,522000,211000,7450
1934,21,31,1260,49100,96400,39000,1533
1934,22,32,1065,183000,1310066,0,5917
1934,0,21,815,974000,2962000,1198000,19998
1934,5,0,5470,254000,114800,46400,1551
1934,6,44,240,21100,218400,88000,933
1934,8,16,805,21300,65600,26500,334
1934,10,17,720,2653000,9115000,3689000,45366
1934,11,48,715,1000,3500,1400,48
1934,12,19,370,93000,619000,251300,1732
1934,16,0,27900,158800,14115,5700,980
1934,18,0,3130,1438000,1140800,460000,11117
1934,19,22,760,7180000,23296000,9428000,159027
1934,0,25,1665,2000,3000,1200,49
1934,2,27,1500,1200,2000,800,32
1934,5,0,3000,3000,300,100,11
1934,8,24,1980,17600,22100,8900,414
1934,10,25,1370,82250,148100,59950,2026
1934,18,1,2390,215000,221400,90000,4029
1934,19,34,1345,13700,25200,10200,469
1934,0,28,1345,72100,132600,53700,2023
1934,1,63,1055,1900,4400,1800,120
1934,2,28,1225,72650,146200,59200,2011
1934,4,0,0,0,0,0,0
1934,5,0,20000,424000,52400,21200,1836
1934,6,62,580,550,2300,950,34
1934,8,26,1460,70100,118600,48000,1790
1934,10,28,1095,744300,1679800,679800,20757
1934,11,61,1115,8650,19100,7750,524
1934,12,27,1045,2300,5500,2200,62
1934,18,1,3080,4414000,3543400,1434000,57669
1934,19,36,1315,33900,63800,25800,1214
1934,0,22,615,270000,1088000,440000,5829
1934,1,20,500,50,300,100,1
1934,5,0,163,20000,30400,12300,141
1934,6,44,195,13800,174700,71000,612
1934,8,15,465,3900,20800,8400,57
1934,10,18,530,991000,4625000,1872000,17358
1934,11,40,335,100,700,300,4
1934,12,19,235,33100,346500,141000,607
1934,13,19,175,20000,1310066,0,371
1934,14,18,470,13100,68500,28000,236
1934,18,0,2390,167000,169900,70000,1070
1934,19,22,580,3108000,13262000,5367000,69662
1935,0,11,960,357000,920000,372000,3766
1935,1,45,1335,400,800,300,18
1935,5,0,10000,25000,6200,2500,160
1935,6,46,490,3900,19400,8000,181
1935,8,11,965,7800,20000,8100,84
1935,10,10,1010,1268000,3102000,1255000,13152
1935,11,34,1165,350,700,300,12
1935,12,10,595,40600,168100,68000,399
1935,13,10,625,32000,1310066,0,315
1935,14,10,505,8600,42300,17000,84
1935,16,0,22500,125900,13929,5600,800
1935,18,0,3830,575000,368400,150000,4437
1935,19,22,885,2685000,7500000,3035000,60175
1935,0,24,1815,8900,12100,4900,212
1935,1,58,1835,550,800,300,32
1935,5,0,27080,65000,6000,2400,306
1935,6,30,1000,100,300,100,3
1935,8,23,1795,3050,4200,1700,69
1935,10,26,1845,77200,103400,41800,2002
1935,11,46,1665,3000,4400,1800,138
1935,12,23,1210,2300,4800,1900,52
1935,18,1,5140,416000,200400,81000,5554
1935,19,29,1675,39000,57500,23300,1146
1935,0,13,1165,1828950,3886800,1573200,24465
1935,1,53,1215,31650,64500,26050,1693
1935,2,23,1125,173050,380100,153800,4017
1935,4,18,2895,197000,167700,68000,3494
1935,5,0,19060,3699000,480700,194100,13539
1935,6,47,340,42350,306900,124100,1991
1935,8,18,1730,807050,1152500,466400,14238
1935,10,15,1065,6081550,14096200,5703850,93409
1935,11,40,1145,44000,94600,38350,1767
1935,12,11,835,243500,719500,290900,2634
1935,13,11,855,202100,1310066,0,2227
1935,14,10,760,41400,134900,54500,407
1935,16,0,19800,416600,51928,21000,2501
1935,18,0,3800,14531000,9459900,3823000,122876
1935,19,23,785,7673600,24115700,9759350,173065
1935,0,11,1110,503000,1121000,454000,5775
1935,2,27,1000,1900,4700,1900,52
1935,5,0,10670,318000,73700,29800,1400
1935,6,46,570,4000,17300,7000,185
1935,8,14,935,8700,23100,9300,120
1935,10,12,815,473000,1434000,580000,5833
1935,11,42,1215,850,1700,700,36
1935,12,10,1055,46000,107000,43500,454
1935,13,10,1075,42000,1310066,0,415
1935,14,10,890,4000,11000,4500,39
1935,18,0,4740,1043000,551600,220000,5499
1935,19,22,605,633000,2587000,1047000,14183
1935,0,31,1380,13250,23800,9600,412
1935,8,26,1640,21800,32800,13300,573
1935,10,31,1130,212350,463700,187650,6636
1935,18,1,2780,1349000,1200000,486000,15836
1935,19,37,1130,22300,48800,19750,821
1935,0,29,1340,6700,12400,5000,191
1935,1,44,1110,500,1100,450,22
1935,2,31,990,13700,34200,13850,428
1935,5,0,20000,5000,600,250,16
1935,8,28,1375,1650,3000,1200,46
1935,10,29,1050,91600,215100,87050,2613
1935,18,1,2540,589000,572900,232000,7016
1935,19,39,1130,8550,18600,7550,333
1935,0,36,1470,4550,7700,3100,163
1935,2,37,1025,2100,5100,2050,78
1935,5,0,16670,5000,700,300,21
1935,8,29,1565,3750,5900,2400,110
1935,10,36,1250,47900,94500,38250,1708
1935,12,0,0,0,0,0,0
1935,18,1,3160,521000,408200,165000,6314
1935,19,42,1120,1900,4200,1700,79
1935,0,18,1730,366700,523000,211700,6736
1935,1,53,1215,28100,57000,23100,1496
1935,2,18,1125,84850,186400,75400,1558
1935,4,18,2895,197000,167700,68000,3494
1935,5,0,21010,2752000,324800,131000,9102
1935,6,52,635,1900,7400,3000,98
1935,8,17,1840,690300,926600,375000,11499
1935,10,18,1370,1319500,2376700,961800,23957
1935,11,35,1145,31800,68700,27800,1110
1935,12,16,1105,26500,59300,24000,418
1935,16,0,18900,290700,37999,15400,1701
1935,18,0,4460,6261000,3467500,1403000,47565
1935,19,26,1485,393500,653900,265000,10303
1935,21,27,1265,50500,98800,40000,1356
1935,22,26,1525,343000,1310066,0,8947
1935,0,11,1055,1364000,3187000,1290000,15097
1935,5,0,10180,401000,97400,39400,1923
1935,6,46,330,39700,296700,120000,1841
1935,8,12,955,25600,66400,26800,302
1935,10,11,985,3776000,9478000,3835000,41417
1935,11,39,1165,1400,3000,1200,55
1935,12,10,810,212400,649300,262500,2095
1935,16,0,22500,125900,13929,5600,800
1935,18,0,4340,1867000,1074700,430000,11342
1935,19,22,765,7188000,23293000,9426000,159677
1935,0,29,1335,2000,3700,1500,58
1935,2,32,1000,1100,2700,1100,35
1935,5,0,2000,3000,400,150,10
1935,8,25,1690,16400,23900,9700,417
1935,10,32,1170,72850,154100,62350,2315
1935,18,1,2690,239000,218900,89000,2506
1935,19,35,1130,11850,26000,10500,409
1935,0,26,1335,76100,140900,57000,2008
1935,1,61,1110,2000,4500,1800,121
1935,2,27,1165,69400,147000,59500,1866
1935,4,0,0,0,0,0,0
1935,5,0,22720,468000,50800,20600,2161
1935,6,75,650,650,2500,1000,49
1935,8,27,1335,66300,122500,49600,1795
1935,10,28,1030,696500,1674400,677600,19397
1935,11,59,1035,7800,18600,7550,464
1935,12,30,920,2300,6100,2500,69
1935,18,0,3260,4638000,3517300,1423000,42579
1935,19,36,1215,30800,62500,25300,1118
1935,0,11,1085,504000,1146000,464000,5556
1935,1,40,1000,100,300,100,4
